Маршрут          | Отправление   | Прибытие      | Отпр  | Приб  | Ваг | Тип          | Цена
-------------------------------------------------------------------------------------------------------
Грузовой-1 | Москва | Владивосток | 8:0 | 22:30 | 45 | Товарный | 555
Грузовой-2 | Новосибирск | Сочи | 5:0 | 18:0 | 50 | Товарный | 3333
Товарный-3 | Екатеринбург | Калининград | 4:15 | 16:30 | 55 | Товарный | 1333
Угольный | Кемерово | Новороссийск | 3:0 | 15:0 | 60 | Товарный | 6222
Нефтяной | Тюмень | Севастополь | 1:0 | 13:0 | 48 | Товарный | 4777
Экспресс | Москва | Санкт-Петербург | 9:0 | 13:30 | 12 | Пассажирский | 1533
Ласточка | Казань | Нижний Новгород | 10:0 | 14:0 | 8 | Пассажирский | 1244
Сапсан | Москва | Санкт-Петербург | 15:0 | 19:0 | 10 | Пассажирский | 2511
Южный | Ростов | Краснодар | 8:30 | 12:0 | 14 | Пассажирский | 1342
Пригородный | СПб | Выборг | 7:0 | 9:30 | 6 | Пассажирский | 843
Стрела | Москва | Тверь | 18:0 | 20:0 | 9 | Пассажирский | 912
Быстрый | Самара | Уфа | 6:0 | 10:30 | 11 | Пассажирский | 1142
Дальний | Челябинск | Екатеринбург | 14:0 | 17:0 | 7 | Пассажирский | 955
Ночной | Москва | Санкт-Петербург | 23:0 | 6:0 | 15 | Пассажирский | 1803
Скорый | Новосибирск | Томск | 12:0 | 15:30 | 13 | Пассажирский | 1300
Ремонтный-1 | Москва | Тверь | 23:0 | 5:0 | 5 | Ремонтный | 1
Ремпуть | СПб | Новгород | 22:0 | 4:0 | 4 | Ремонтный | 3
Ремонтный-2 | Казань | Йошкар-Ола | 1:0 | 6:0 | 6 | Ремонтный | 62
Путеец | Екатеринбург | Пермь | 0:0 | 5:0 | 5 | Ремонтный | 100
Ремонтник | Новосибирск | Барнаул | 2:0 | 7:0 | 4 | Ремонтный | 16
